MeterPoint Code,Serial Number,Plant Code,Date/Time,Data Type,Data Value,Units,Status
214612534,214612534,ED021401344,06-09-2015 16:00,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 16:15,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 16:30,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 16:45,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 17:00,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 17:15,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 17:30,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 17:45,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 18:00,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 18:15,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 18:30,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 18:45,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 19:00,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 19:15,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 19:30,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 19:45,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 20:00,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 20:15,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 20:30,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 20:45,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 21:00,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 21:15,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 21:30,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 21:45,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 22:00,Export Wh Total,0,kwh,
